Date,Open,High,Low,Close,Volume,OpenInt
2005-06-21,5.3429,5.3429,5.3048,5.3353,16480,0
2005-06-22,5.3048,5.3353,5.3048,5.3201,15267,0
2005-06-23,5.3048,5.3658,5.3048,5.3124,4161,0
2005-06-24,5.3201,5.3884,5.3201,5.3734,10405,0
2005-06-27,5.381,5.6096,5.3201,5.5486,28272,0
2005-06-28,5.6022,5.6478,5.5715,5.6401,51339,0
2005-06-29,5.6174,5.6478,5.5411,5.6478,29139,0
2005-06-30,5.5944,5.6478,5.5411,5.5944,27233,0
2005-07-01,5.5944,5.6707,5.5944,5.6478,46139,0
2005-07-05,5.6478,5.7316,5.6478,5.7088,36427,0
2005-07-06,5.7164,5.7621,5.7164,5.7621,33131,0
2005-07-07,5.7621,5.785,5.7393,5.7621,46659,0
2005-07-08,5.7621,5.7925,5.747,5.747,56718,0
2005-07-11,5.785,5.8536,5.7393,5.7621,100083,0
2005-07-12,5.7621,5.8839,5.7621,5.7699,42149,0
2005-07-13,5.8078,5.8689,5.7699,5.8689,45790,0
2005-07-14,5.8536,5.8839,5.8078,5.823,74410,0
2005-07-15,5.8154,5.8689,5.785,5.785,14398,0
2005-07-18,5.7699,5.8384,5.7621,5.8078,19603,0
2005-07-19,5.7772,5.8154,5.7621,5.8154,20814,0
2005-07-20,5.823,5.9603,5.8154,5.9603,26540,0
2005-07-21,5.9376,5.9681,5.8002,5.8002,18040,0
2005-07-22,5.823,5.9299,5.823,5.8536,40069,0
2005-07-25,5.8536,5.8916,5.823,5.8839,42149,0
2005-07-26,5.907,5.9982,5.7621,5.9755,176749,0
2005-07-27,5.9982,6.1128,5.9681,6.0668,200516,0
2005-07-28,6.0518,6.0518,5.9219,5.9376,101299,0
2005-07-29,5.907,5.907,5.8536,5.8916,33997,0
2005-08-01,5.8536,5.8536,5.7699,5.8536,32778,0
2005-08-02,5.8536,5.8536,5.823,5.8536,28791,0
2005-08-03,5.8536,5.8536,5.7925,5.846,13528,0
2005-08-04,5.823,5.846,5.7925,5.8078,6938,0
2005-08-05,5.8078,5.846,5.7393,5.7546,19254,0
2005-08-08,5.823,5.823,5.7621,5.823,50301,0
2005-08-09,5.823,5.8839,5.8078,5.8689,50820,0
